"title","creator","subjects","materialtype","usageclass","checkouts","checkoutmonth","publicationyear"
"Mango, Abuela y yo","Meg Medina","Juvenile Fiction, Picture Book Fiction","EBOOK","Digital","1","1","2021"
"A bargain for Frances / by Russell Hoban ; pictures by Lillian Hoban.","Hoban, Russell","Badgers Juvenile fiction, Friendship Fiction","BOOK","Physical","1","1","1992."
"Big blue whale / Nicola Davies ; illustrated by Nick Maland.","Davies, Nicola, 1958-","Blue whale Juvenile literature, Whales","BOOK","Physical","3","1","2001."
"All-American Adventure: Treasure Hunters Series, Book 6","James Patterson","Juvenile Fiction, Juvenile Literature, Humor (Fiction)","EBOOK","Digital","4","1","2019"
"The Copycat Mystery: The Boxcar Children Series, Book 83 (unabridged)","Gertrude Chandler Warner","Juvenile Fiction, Mystery","AUDIOBOOK","Digital","5","1","2013"
"The happiness track : how to apply the science of happiness to accelerate your success / Emma Seppälä, Ph. D.","Seppala, Emma","Success, Happiness","BOOK","Physical","1","1","[2016]"
"The little engine that could / retold by Watty Piper ; reimagined by Dan Santat ; [introduction by Dolly Parton].","Piper, Watty","Cooperativeness Juvenile fiction, Self confidence Juvenile fiction, Railroad trains Juvenile fiction, Friendship Juvenile fiction, Picture books","BOOK","Physical","9","1","2020."
"My beef with meat : the healthiest argument for eating a plant-strong diet--plus 140 new Engine 2 recipes / Rip Esselstyn.","Esselstyn, Rip","Vegetarianism, Health, Nutrition, Fire fighters Texas Austin","BOOK","Physical","1","1","2013."
"Just a second : a different way to look at time / Steve Jenkins.","Jenkins, Steve, 1952-2021","Time Juvenile literature, Nature Juvenile literature","BOOK","Physical","1","1","2011."
"Buddhism (unabridged)","Winston L. King","Religion & Spirituality, Nonfiction","AUDIOBOOK","Digital","3","1","2008"
"Heartbreak Hotel: Alex Delaware Series, Book 32 (unabridged)","Jonathan Kellerman","Fiction, Mystery, Suspense, Thriller","AUDIOBOOK","Digital","3","1","2017"
"The book smugglers / Anna James ; illustrated by Marco Guadalupi.","James, Anna (Anna Lois)","Books and reading Juvenile fiction, Bookstores Juvenile fiction, Characters in literature Fiction, Adventure and adventurers Fiction, Action and adventure fiction, Novels","BOOK","Physical","1","1","2021."
"Hooper Humperdink--? Not him! / by Dr. Seuss writing as Theo. LeSieg ; illustrated by Scott Nash.","LeSieg, Theo., 1904-1991","Parties Fiction, Stories in rhyme Juvenile fiction, Alphabet Fiction","BOOK","Physical","2","1","2006."
"Raisins and almonds : a Yiddish lullaby / Susan Tarcov ; illustrated by Sonia Sánchez.","Tarcov, Susan","Jewish children Juvenile fiction, Lullabies Juvenile fiction, Shopping Juvenile fiction, Animals Juvenile fiction, Imagination Juvenile fiction, Jews Juvenile fiction, Picture books","BOOK","Physical","1","1","[2019]"
"The Great American Whatever (unabridged)","Tim Federle","Young Adult Fiction, Young Adult Literature, LGBTQIA+ (Fiction)","AUDIOBOOK","Digital","1","1","2016"
"Bad for You (unabridged)","J. Daniels","Fiction, Literature, Romance, Humor (Fiction)","AUDIOBOOK","Digital","1","1","2019"
"Empires of the Sea: The Siege of Malta, the Battle of Lepanto, and the Contest for the Center of the World","Roger Crowley","History, Military, Nonfiction","EBOOK","Digital","2","1","2008"
"The Boxcar Children Winter Special: Three Adventures of the Boxcar Children","Gertrude  Chandler Warner","Juvenile Fiction, Mystery","EBOOK","Digital","2","1","2013"
"Act of War: Scot Harvath Series, Book 13 (unabridged)","Brad Thor","Fiction, Suspense, Thriller","AUDIOBOOK","Digital","2","1","2014"
"Lizzy and the cloud / The Fan Brothers.","Fan Brothers","Clouds Juvenile fiction, Pets Juvenile fiction, Responsibility in children Juvenile fiction, Clouds Fiction, Pets Fiction, Nature fiction, Picture books","BOOK","Physical","12","1","[2022]"
"Inky the indigo fairy / by Daisy Meadows ; illustrated by Georgie Ripper.","Meadows, Daisy","Fairies Juvenile fiction, Books Juvenile fiction, Color Juvenile fiction, Fantasy","BOOK","Physical","2","1","[2003]"
"A traveler in time. / Illustrated by Christine Price.","Uttley, Alison, 1884-1976",,"BOOK","Physical","1","1","[1964]"
"The trouble with hating you / Sajni Patel.","Patel, Sajni, 1981-","East Indians Texas Social life and customs Fiction, Women East Indian Texas Fiction, Single women Fiction, Arranged marriage Fiction, Man woman relationships Fiction, Houston Tex Fiction, Romance fiction, Humorous fiction","BOOK","Physical","1","1","[2020]"
"Heartbreak for Hire: A Novel","Sonia Hartl","Fiction, Literature, Romance, Humor (Fiction)","EBOOK","Digital","1","1","2021"
"The butterfly house / by Eve Bunting ; illustrated by Greg Shed.","Bunting, Eve, 1928-","Butterflies Juvenile fiction, Metamorphosis Juvenile fiction, Grandfathers Juvenile fiction, Stories in rhyme Juvenile fiction","BOOK","Physical","1","1","1998."
"Cretaceous / written & illustrated by Tadd Galusha.","Galusha, Tadd","Tyrannosaurus rex Comic books strips etc, Dinosaurs Comic books strips etc, Paleontology Cretaceous Comic books strips etc, Comics Graphic works, Graphic novels","BOOK","Physical","1","1","2019."
"My first book of Hindi words : an ABC rhyming book of Hindi language and Indian culture / by Rina Singh ; Illustrated by Farida Zaman.","Singh, Rina, 1955-","Hindi language Juvenile literature, Alphabet Juvenile literature","BOOK","Physical","1","1","[2016]"
"What the wind knows / Amy Harmon.","Harmon, Amy","Man woman relationships Fiction, Impersonation Fiction, Time travel Fiction, Ireland History 1910 1921 Fiction, Fantasy fiction, Historical fiction","BOOK","Physical","1","1","[2019]"
"Dinosaurs and prehistoric life.",,"Dinosaurs, Animals Fossil, Evolution Biology, Plants Fossil, Fossil hominids, Prehistoric peoples, Paleobiology, Earth Planet Origin, Encyclopedias","BOOK","Physical","1","1","2019"
"Piney the goat nanny / by Leanne Lauricella with Saskia Lacey ; illustrated by Jill Howarth.","Lauricella, Leanne","Swine Juvenile literature, Animals with disabilities Adaptation Juvenile literature, Farm life Juvenile literature, Animal rescue Juvenile literature","BOOK","Physical","2","1","2018."
"How thunder and lightning came to be : a Choctaw legend / retold by Beatrice Orcutt Harrell ; collages by Susan L. Roth.","Harrell, Beatrice Orcutt","Choctaw Indians Folklore Juvenile literature, Legends Southern States Juvenile literature, Thunder Folklore Juvenile literature, Lightning Folklore Juvenile literature, Indians of North America Folklore Juvenile literature, Folklore Southern States Juvenile literature, Thunderstorms Folklore Juvenile literature","BOOK","Physical","1","1","[1995]"
"Willa Cather, later novels.","Cather, Willa, 1873-1947",,"BOOK","Physical","1","1","[1990]"
"The Promise","Brenda Joyce","Fiction, Romance, Historical Fiction","EBOOK","Digital","1","1","2010"
"The collected essays of Elizabeth Hardwick / selected and with an introduction by Darryl Pinckney.","Hardwick, Elizabeth","American essays, Essays","BOOK","Physical","4","1","[2017]"
"The Godwulf Manuscript: Spenser Series, Book 1 (unabridged)","Robert B. Parker","Fiction, Mystery, Suspense, Thriller","AUDIOBOOK","Digital","4","1","2009"
"Mama dug a little den / Jennifer Ward ; illustrated by Steve Jenkins.","Ward, Jennifer, 1963-","Animals Habitations Juvenile literature, Animal behavior Juvenile literature","BOOK","Physical","5","1","[2018]"
"When the Anger Ogre visits / by Andrée Salom ; illustrated by Ivette Salom.","Salom, Andrée","Stories in rhyme, Anger Fiction, Meditation Fiction, Relaxation Fiction","BOOK","Physical","3","1","[2015]"
"The Middle Ages : a graphic guide / Eleanor Janega ; [illustrated by] Neil Max Emmanuel.","Janega, Eleanor","Middle Ages Comic books strips etc, Middle Ages Historiography Comic books strips etc, Middle Ages Pictorial works, Civilization Medieval Comic books strips etc, Graphic novels, Historical comics, Educational comics, Nonfiction comics, Humorous comics","BOOK","Physical","1","1","2021."
"The School of Essential Ingredients: School of Essential Ingredients Series, Book 1 (unabridged)","Erica Bauermeister","Fiction, Literature","AUDIOBOOK","Digital","1","1","2009"
"The Analects","Confucius","Religion & Spirituality, Nonfiction","EBOOK","Digital","2","1","2011"
"Medical-surgical nursing demystified / Mary DiGiulio, DNP, ANP-BC ; Jim Keogh, BSN, RN-BC.","DiGiulio, Mary","Surgical nursing, Operating room nursing, Nursing Examinations Study guides, Perioperative Nursing methods, Nursing Care methods, Nursing Process","BOOK","Physical","1","1","[2014]"
"Playlist for the Apocalypse: Poems","Rita Dove","Fiction, Poetry","EBOOK","Digital","2","1","2021"
"Tiling : a homeowner's guide / Joseph Truini.","Truini, Joseph","Tile laying Amateurs manuals","BOOK","Physical","1","1","[2015]"
"Fuel the fire : a nutrition and body confidence guidebook for the female athlete / Pamela Nisevich Bede, MS, RD.","Bede, Pamela Nisevich","Women athletes Training of, Sports for women Physiological aspects, Physical fitness for women","BOOK","Physical","2","1","[2022]"
"What art is / Arthur C. Danto.","Danto, Arthur C., 1924-2013","Art Philosophy","BOOK","Physical","1","1","2013."
"The Girl Code: The Secret Language of Single Women (On Dating, Sex, Shopping, and Honor Among Girlfriends)","Diane Farr","Family & Relationships, Nonfiction, Humor (Nonfiction)","EBOOK","Digital","2","1","2013"
"Computer science distilled : learn the art of solving computational problems / Wladston Ferreira Filho.","Ferreira Filho, Wladston","Computer algorithms, Computer programming, Computer science, Data structures Computer science","BOOK","Physical","1","1","2017."
"White Hot","Sandra Brown","Fiction, Mystery, Suspense, Thriller","EBOOK","Digital","1","1","2014"
"Bodies on the Line: At the Front Lines of the Fight to Protect Abortion in America","Lauren Rankin","Health & Fitness, Politics, Sociology, Nonfiction","EBOOK","Digital","1","1","2022"
"Heartbreaker: A Hell's Belles Novel","Sarah MacLean","Fiction, Romance, Historical Fiction","EBOOK","Digital","37","1","2022"
"How to Fall in Love with Anyone: A Memoir in Essays","Mandy Len Catron","Biography & Autobiography, Family & Relationships, Psychology, Nonfiction","EBOOK","Digital","1","1","2017"
"Sonny Says Sorry!","Caryl Hart","Juvenile Fiction, Juvenile Literature, Picture Book Fiction","EBOOK","Digital","2","1","2022"
"Ricky Ricotta's Mighty Robot vs. the Mutant Mosquitoes from Mercury: Ricky Ricotta Series, Book 2","Dav Pilkey","Juvenile Fiction, Juvenile Literature","EBOOK","Digital","2","1","2015"
"A hunter-gatherer's guide to the 21st century : evolution and the challenges of modern life / Heather Heying and Bret Weinstein.","Heying, Heather","Human ecology, Human evolution Social aspects, Civilization Modern Social aspects, Hunting and gathering societies, Biodiversity","BOOK","Physical","3","1","[2021]"
"Pursuit of Honor: Mitch Rapp Series, Book 12","Vince Flynn","Fiction, Suspense, Thriller","EBOOK","Digital","3","1","2014"
"Elementary Tagalog : tara, mag-Tagalog tayo! : Come on, let's speak Tagalog! / Jiedson Domigpe, Nenita Pambid Domingo.","Domigpe, Jiedson","Tagalog language Textbooks for foreign speakers English, Tagalog language Spoken Japanese, Tagalog language Sound recordings for English speakers, Tagalog language Self instruction","BOOK","Physical","1","1","[2012]"
"Season of the wolf / Maria Vale.","Vale, Maria","Werewolves Fiction, Man woman relationships Fiction, Shapeshifting Fiction, Romance fiction, Paranormal fiction","BOOK","Physical","1","1","[2020]"
"Feedback","Mira Grant","Fantasy, Fiction, Science Fiction","EBOOK","Digital","1","1","2016"
"Bloodwitch: Witchlands Series, Book 3","Susan Dennard","Fantasy, Young Adult Fiction","EBOOK","Digital","2","1","2019"
"Unearthly: Unearthly Series, Book 1","Cynthia Hand","Fantasy, Romance, Young Adult Fiction, Young Adult Literature","EBOOK","Digital","1","1","2011"
"Woman at Point Zero","Nawal El Saadawi","Fiction, Literature","EBOOK","Digital","6","1","2016"
"A Coyote solstice tale / by Thomas King ; pictures by Gary Clement.","King, Thomas, 1943-","Coyote Mythological character Juvenile fiction, Consumption Economics Juvenile fiction","BOOK","Physical","4","1","Groundwood Books. 2009."
"A Bite-Sized History of France: Gastronomic Tales of Revolution, War, and Enlightenment","Stéphane Henaut","Cooking & Food, History, Travel, Nonfiction","EBOOK","Digital","3","1","2018"
"Chicken Soup for the Soul: Miracles & Divine Intervention: 101 Stories of Hope and Faith","Amy Newmark","Self-Improvement, Nonfiction","EBOOK","Digital","1","1","2021"
"The Sittaford Mystery (unabridged)","Agatha Christie","Fiction, Mystery, Historical Fiction","AUDIOBOOK","Digital","3","1","2017"
"Myers+chang At Home: Recipes from the Beloved Boston Eatery","Joanne Chang","Cooking & Food, Nonfiction","EBOOK","Digital","3","1","2017"
"American Sign Language / Deborah Kent.","Kent, Deborah","American Sign Language Juvenile literature, Deaf Means of communication United States Juvenile literature, Deaf Juvenile literature, People with disabilities Juvenile literature","BOOK","Physical","1","1","[2003]"
"Ray & Joan : the man who made the McDonald's fortune and the woman who gave it all away / Lisa Napoli.","Napoli, Lisa, 1963-","Kroc Joan B, Kroc Ray 1902 1984, McDonalds Corporation Biography, Women philanthropists United States Biography, Women California San Diego Biography, Businesspeople United States Biography, Restaurateurs United States Biography, Women and peace Biography, Antinuclear movement United States History 20th century Biography, San Diego Calif Biography, Biographies","BOOK","Physical","2","1","[2016]"
"My brother Charlie / written by Holly Robinson Peete and Ryan Elizabeth Peete with Denene Millner ; pictures by Shane W. Evans.","Peete, Holly Robinson, 1964-","Autism Juvenile fiction, Twins Juvenile fiction, Brothers and sisters Fiction","BOOK","Physical","3","1","2010."
"Treasure of Khan: Dirk Pitt Series, Book 19 (unabridged)","Clive Cussler","Fiction, Literature, Suspense, Thriller","AUDIOBOOK","Digital","1","1","2010"
"Her: A Memoir","Christa Parravani","Biography & Autobiography, Nonfiction","EBOOK","Digital","1","1","2014"
"Whole Detox: A 21-Day Personalized Program to Break Through Barriers in Every Area of Your Life","Deanna Minich","Cooking & Food, Health & Fitness, New Age, Nonfiction","EBOOK","Digital","2","1","2016"
"Johnny Slimeseed and the freaky forest : a graphic novel / by Stephanie True Peters ; illustrated by Berenice Muniz.","Peters, Stephanie True, 1965-","Appleseed Johnny 1774 1845 Comic books strips etc, Legends Adaptations Comic books strips etc, Tales Adaptations Comic books strips etc, Monsters Comic books strips etc, Cartoons and comics, Tall tales, Comics Graphic works, Graphic novels","BOOK","Physical","1","1","[2019]"
"La Vida Verde: Plant-Based Mexican Cooking with Authentic Flavor","Jocelyn Ramirez","Cooking & Food, Nonfiction","EBOOK","Digital","1","1","2020"
"Genesis: The Story of How Everything Began","Guido Tonelli","Science, Physics, Nonfiction","EBOOK","Digital","3","1","2021"
"Asterix in Belgium / written by René Goscinny ; and illustrated by Albert Uderzo ; translated by Anthea Bell and Derek Hockridge.","Goscinny, 1926-1977","Ast‚rix Fictitious character Comic books strips etc, Ob‚lix Fictitious character Comic books strips etc, Graphic novels, Comics Graphic works, Humorous comics","BOOK","Physical","1","1","2004."
"Summertime : fiction / J.M. Coetzee.","Coetzee, J. M., 1940-","Authors Fiction, Autobiographical fiction","BOOK","Physical","1","1","2009."
"A family affair / Robyn Carr.","Carr, Robyn","Husbands Death Fiction, Bereavement Fiction, Adultery Fiction, Secrecy Fiction, Widows Fiction, Family secrets Fiction, Families Fiction, Large type books, Romance fiction, Domestic fiction, Novels","BOOK","Physical","4","1","2022."
"Demelza: Poldark Series, Book 2 (unabridged)","Winston Graham","Fiction, Literature, Historical Fiction","AUDIOBOOK","Digital","3","1","2015"
"Olivia Goes to Venice","Ian Falconer","Juvenile Fiction, Picture Book Fiction, Humor (Fiction)","EBOOK","Digital","1","1","2014"
"The Man Who Shocked the World: The Life and Legacy of Stanley Milgram","Thomas Blass","Biography & Autobiography, History, Psychology, Nonfiction","EBOOK","Digital","1","1","2011"
"Skylark: The Skylark Trilogy, Book 1","Meagan Spooner","Fantasy, Young Adult Fiction","EBOOK","Digital","1","1","2012"
"The London House","Katherine Reay","Fiction, Literature, Historical Fiction","EBOOK","Digital","2","1","2021"
"The Dark King: Deviant Kings Series, Book 1","Gina L. Maxwell","Erotic Literature, Fantasy, Fiction, Romance","EBOOK","Digital","10","1","2022"
"The Meltdown: Diary of a Wimpy Kid Series, Book 13 (unabridged)","Jeff Kinney","Comic and Graphic Books, Juvenile Fiction, Juvenile Literature, Humor (Fiction)","AUDIOBOOK","Digital","13","1","2020"
"The Prisoner of Shiverstone","Linette Moore","Comic and Graphic Books, Juvenile Fiction, Mystery, Science Fiction","EBOOK","Digital","1","1","2022"
"Tomorrow Will Be Different: Love, Loss, and the Fight for Trans Equality","Sarah McBride","Biography & Autobiography, LGBTQIA+ (Nonfiction), Sociology, Nonfiction","EBOOK","Digital","1","1","2018"
"ILLM dialogues of Plato, V.1",,,"BOOK","Physical","2","1",
"Maybe / written by Kobi Yamada ; illustrated by Gabriella Barouch.","Yamada, Kobi","Self actualization Psychology Juvenile fiction, Creative ability Juvenile fiction, Picture books","BOOK","Physical","10","1","[2019]"
"Love is Blind","Lynsay Sands","Fiction, Literature, Romance, Historical Fiction","EBOOK","Digital","3","1","2011"
"The Lord of the Rings, The Two Towers","Full Cast","Fantasy, Fiction","AUDIOBOOK","Digital","4","1","2022"
"The Day of the Djinn Warriors: Children of the Lamp Series, Book 4 (unabridged)","P. B. Kerr","Fantasy, Juvenile Fiction","AUDIOBOOK","Digital","1","1","2009"
"The bluest of blues : Anna Atkins and the first book of photographs / by Fiona Robinson.","Robinson, Fiona, 1965-","Atkins Anna 1799 1871 Juvenile literature, Women botanists England Biography Juvenile literature, Women photographers England Biography Juvenile literature","BOOK","Physical","3","1","2019."
"Taxi ride with Victor / Sara Trofa & Elsa Klever.","Trofa, Sara, 1981-","Taxicab drivers Juvenile fiction, Interplanetary voyages Juvenile fiction, Picture books","BOOK","Physical","3","1","[2019]"
"The Amish Matchmaker (unabridged)","Amy Lillard","Fiction, Literature, Romance, Christian Fiction","AUDIOBOOK","Digital","1","1","2022"
"Long May She Reign","Rhiannon Thomas","Fantasy, Romance, Young Adult Fiction, Young Adult Literature","EBOOK","Digital","1","1","2017"
"Demon slayer = Kimetsu no yaiba. 13, Transitions / story and art by Koyoharu Gotouge ; translation, John Werry ; English adaptation, Stan! ; touch-up art & lettering, John Hunt.","Gotoge, Koyoharu, 1988-","Demonology Comic books strips etc, Brothers and sisters Comic books strips etc, Revenge Comic books strips etc, Good and evil Comic books strips etc, Japan History Taisho period 1912 1926 Comic books strips etc, Graphic novels, Action and adventure comics, Comics Graphic works, Paranormal fiction, Fantasy comics, Historical comics","BOOK","Physical","6","1","[2020]"
"The Beginner's Guide to Healthy Breathing (unabridged)","Ken Cohen","Reference, Technology, Nonfiction","AUDIOBOOK","Digital","1","1","2009"
"Cadillac Beach: Serge Storms Series, Book 6 (unabridged)","Tim Dorsey","Fiction, Thriller, Humor (Fiction)","AUDIOBOOK","Digital","1","1","2017"
"El misterioso huevo / Emily Gravett","Gravett, Emily","Eggs Juvenile fiction, Ducks Juvenile fiction, Birds Juvenile fiction, Spanish language materials","BOOK","Physical","2","1","[2019]"
"On Trails: An Exploration","Robert Moor","Nature, Sociology, Travel, Nonfiction","EBOOK","Digital","7","1","2016"
"Blood on the Moon: Lloyd Hopkins Trilogy, Book 1 (unabridged)","James Ellroy","Fiction, Mystery","AUDIOBOOK","Digital","1","1","2012"
"Say You Love Me: Malory Family Series, Book 5","Johanna Lindsey","Fiction, Literature, Romance, Historical Fiction","EBOOK","Digital","1","1","2011"
"These Broken Stars: Starbound Trilogy, Book 1 (unabridged)","Amie Kaufman","Romance, Science Fiction, Young Adult Fiction, Young Adult Literature","AUDIOBOOK","Digital","1","1","2014"
"Much ado about murder / Elizabeth J. Duncan.","Duncan, Elizabeth J.","Women costume designers Fiction, Catskill Mountains Region N Y Fiction, Detective and mystery fiction","BOOK","Physical","1","1","2017."
"Max Helsing and the Beast of Bone Creek / Curtis Jobling.","Jobling, Curtis","Magic Juvenile fiction, Monsters Juvenile fiction, Camps Juvenile fiction, Sasquatch Juvenile fiction, Adventure stories, Adventure and adventurers Fiction, Action and adventure fiction","BOOK","Physical","1","1","2016."
"Funny Kid #3: Prank Wars","Matt Stanton","Juvenile Fiction, Juvenile Literature, Humor (Fiction)","EBOOK","Digital","1","1","2019"
"College Cooking: Feed Yourself and Your Friends [A Cookbook]","Megan Carle","Cooking & Food, Nonfiction","EBOOK","Digital","1","1","2011"
"The Good House (unabridged)","Tananarive Due","Fiction, Horror, Suspense, Thriller","AUDIOBOOK","Digital","6","1","2018"
"Bury the lede / Gaby Dunn ; [illustrated by] Claire Roe, [with] Miquel Muerto.","Dunn, Gaby","Minority journalists Comic books strips etc, Female offenders Comic books strips etc, Suspects Criminal investigation Comic books strips etc, Boston Mass Reporters and reporting Comic books strips etc, Graphic novels, Comics Graphic works","BOOK","Physical","1","1","2019."
"Jillian: A Novel","Halle Butler","Fiction, Literature, Humor (Fiction)","EBOOK","Digital","2","1","2022"
"A Solitude of Wolverines: A Novel of Suspense","Alice Henderson","Fiction, Literature, Suspense, Thriller","EBOOK","Digital","2","1","2020"
"It's not the stork! : a book about girls, boys, babies, bodies, families, and friends / Robie H. Harris ; illustrated by Michael Emberley.","Harris, Robie H.","Sex instruction for children Juvenile literature, Sex role in children Juvenile literature, Sex differences Juvenile literature, Childbirth Juvenile literature, Sex role Juvenile literature","BOOK","Physical","14","1","2006."
"Joseph Haydn: His Life and Works (unabridged)","Anonymous","Biography & Autobiography, Nonfiction","AUDIOBOOK","Digital","1","1","2006"
"A Visit from Sir Nicholas: Effington Family Series, Book 9","Victoria Alexander","Fiction, Romance, Historical Fiction","EBOOK","Digital","3","1","2009"
"The art of rivalry : four friendships, betrayals, and breakthroughs in modern art / Sebastian Smee.","Smee, Sebastian","Picasso Pablo 1881 1973 Friends and associates, Matisse Henri 1869 1954 Friends and associates, Manet douard 1832 1883 Friends and associates, Degas Edgar 1834 1917 Friends and associates, Pollock Jackson 1912 1956 Friends and associates, De Kooning Willem 1904 1997 Friends and associates, Freud Lucian Friends and associates, Bacon Francis 1909 1992 Friends and associates, Artists Psychology, Creation Literary artistic etc","BOOK","Physical","1","1","[2016]"
"Astray","Emma Donoghue","Fiction, Literature, Short Stories, Historical Fiction","EBOOK","Digital","1","1","2013"
"Churchill's secret messenger / Alan Hlad.","Hlad, Alan","Ravensbrck Concentration camp Fiction, World War 1939 1945 Great Britain Fiction, World War 1939 1945 France Fiction, Women spies France Fiction, World War 1939 1945 Underground movements France Fiction, France History German occupation 1940 1945 Fiction, Historical fiction, War fiction, Spy fiction","BOOK","Physical","1","1","[2021]"
"The Postmortal: A Novel","Drew Magary","Fantasy, Fiction, Literature, Science Fiction","EBOOK","Digital","3","1","2011"
"No time to spare : thinking about what matters / Ursula K. Le Guin ; [introduction by Karen Joy Fowler].","Le Guin, Ursula K., 1929-2018,","Aging, Old age, Literature, United States Civilization, Essays","BOOK","Physical","8","1","2017."
"Iona Iverson's Rules for Commuting: A Novel","Clare Pooley","Fiction, Literature, Romance","EBOOK","Digital","19","1","2022"
"The World Eats Here: Amazing Food and the Inspiring People Who Make It at New York's Queens Night Market","John Wang","Cooking & Food, Essays, Nonfiction","EBOOK","Digital","2","1","2020"
"Daddy Can't Dance","Fran Manushkin","Juvenile Fiction, Juvenile Literature","EBOOK","Digital","1","1","2022"
"The Little Wooden Robot and the Log Princess","Tom Gauld","Juvenile Fiction","EBOOK","Digital","2","1","2021"
"A pet for Pete / by James Dean.","Dean, James, 1957-","Pete the Cat Fictitious character Juvenile fiction, Cats Juvenile fiction, Painting Juvenile fiction, Goldfish Juvenile fiction, Pets Juvenile fiction","BOOK","Physical","30","1","[2014]"
"A Brief History of Timekeeping: The Science of Marking Time, from Stonehenge to Atomic Clocks (unabridged)","Chad Orzel","History, Science, Technology, Nonfiction","AUDIOBOOK","Digital","5","1","2022"
"Poppy / by Avi ; illustrated by Brian Floca.","Avi, 1937-","Mice Juvenile fiction, Owls Juvenile fiction, Survival Juvenile fiction, Wilderness survival Juvenile fiction","BOOK","Physical","1","1","[1995]"
"The vlogger's handbook / written by Shane Birley ; illustrated by Audrey Malo.","Birley, Shane","Blogs Juvenile literature, Video blogs Juvenile literature, Internet videos Juvenile literature","BOOK","Physical","1","1","2019."
"Disney princess : the enchanted collection / written by Georgia Ball, Paul Benjamin, Steffie Davis, Caleb Goellner, Geoffrey Golden, Emma Hambly, Oliver Ho, Arie Kaplan, Megan Kearney, Charli McEachran, [and 6 others] ; illustrated by Amy Mebberson, Egle Bartolini, Dylan Bonner, Chris Dreier, Nicole Dalcin, Jason Flores-Holz, Brianna Garcia, Nolen Lee, Mitch Leeuwe, and Steph Law ; colored by Amy Mebberson, Wes Dzioba, Matt Herms, Paul Little, and Donovan Yaciuk ; lettered by AndWorld Design and Nicole Dalcin.",,"Princesses Comic books strips etc, Disney characters Comic books strips etc, Cartoons and comics, Humorous comics, Comics Graphic works","BOOK","Physical","1","1","2018."
"Jacket Weather","Mike DeCapite","Fiction, Literature","EBOOK","Digital","1","1","2021"
"The International Day of the Girl : celebrating girls around the world / Jessica Dee Humphreys and the Hon. Rona Ambrose ; illustrated by Simone Shin.","Humphreys, Jessica Dee","Girls Social conditions Juvenile literature, Womens rights Juvenile literature, Childrens rights Juvenile literature, Girls Political activity Juvenile literature, Creative nonfiction, Informational works, Illustrated works","BOOK","Physical","1","1","[2020]"
"Bare minimum dinners : recipes and strategies for doing less in the kitchen / Jenna Helwig.","Helwig, Jenna","Quick and easy cooking, Cookbooks, Electric cooking Slow, Cookbooks, Recipes","BOOK","Physical","6","1","2021."
"Bad mothers, bad daughters / Maya Sonenberg.","Sonenberg, Maya, 1960-","Mother and child Fiction, Father and child Fiction, Families Fiction, Short stories","BOOK","Physical","2","1","[2022]"
"Fear the Stars: Chaos Queen Series, Book 4","Christopher Husberg","Fantasy, Fiction","EBOOK","Digital","2","1","2022"
"Hellfire","John Gilstrap","Fiction, Suspense, Thriller","EBOOK","Digital","1","1","2020"
"Some kids are deaf / by Lola M. Schaefer.","Schaefer, Lola M., 1950-","Deaf children Juvenile literature, Deafness Juvenile literature","BOOK","Physical","1","1","[2018]"
"One of Us: The Story of Anders Breivik and the Massacre in Norway","Åsne Seierstad","History, Politics, True Crime, Nonfiction","EBOOK","Digital","2","1","2015"
"Kids in the syndrome mix of ADHD, LD, autism spectrum, Tourette's, anxiety and more! : the one stop guide for parents, teachers and other professionals / Martin L. Kutscher ; with contributions from Tony Attwood and Robert R. Wolff, MD.","Kutscher, Martin L.","Behavior disorders in children, Attention deficit hyperactivity disorder, Learning disabled children, Tourette syndrome in children, Bipolar disorder in children, Child psychopathology, Aspergers syndrome, Autism in children","BOOK","Physical","1","1","2014."
"Portrait in brownstone.","Auchincloss, Louis",,"BOOK","Physical","1","1","1962."
"A fierce heart : finding strength, courage, and wisdom in any moment / Spring Washam ; foreword by Jack Kornfield.","Washam, Spring","Spiritual life Buddhism","BOOK","Physical","2","1","[2017]"
"The Bard and the Beast (unabridged)","Jordan Quinn","Fantasy, Juvenile Fiction, Juvenile Literature","AUDIOBOOK","Digital","2","1","2021"
"Poland / [editor, Helen Fanthorpe ; author, Maciej Zglinicki ; updated by Agnieszka Hayward].","Zglinicki, Maciej","Poland Guidebooks, Guidebooks","BOOK","Physical","1","1","2019."
"Changing my mind : occasional essays / Zadie Smith.","Smith, Zadie","English essays","BOOK","Physical","2","1","2009."
"The misadventures of Grumpy Cat (and Pokey!). Volume 1.",,"Grumpy Cat Comic books strips etc, Cats Comic books strips etc, Cartoons and comics, Graphic novels, Comics Graphic works","BOOK","Physical","3","1","[2016]"
"Chuanpu she de ju!? : Zhong Mei mao yi zhan yu ke ji zhan = Trump set this up!? : the US-China trade war and the technology cold war / Yang Yongming, zhu","Yang, Yongming, 1964-","China Foreign economic relations United States, United States Foreign economic relations China, Competition International","BOOK","Physical","1","1","2019."
"The Lovely Bones (unabridged, booktrack)","Alice Sebold","Fiction, Literature","AUDIOBOOK","Digital","1","1","2009"
"Meet Me Under the Mistletoe (unabridged)","Jenny Bayliss","Fiction, Literature, Romance, Humor (Fiction)","AUDIOBOOK","Digital","18","1","2022"
